,S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,
,,                                        33,,CHDC,,,                                        873.00,,                                        39.00,,                                        4.68,,                                        830.00,,                                        890.00,,                                        830.00,,"                                        216,105.00",,                                        834.00,
,,                                        34,,CHL,,,                                        327.00,,                                        -3.00,,                                        -0.91,,                                        323.60,,                                        334.00,,                                        317.20,,"                                        20,987.00",,                                        330.00,
,,                                        35,,CIT,,,"                                        2,160.00",,                                        15.00,,                                        0.70,,"                                        2,140.00",,"                                        2,160.00",,"                                        2,125.00",,"                                        7,897.00",,"                                        2,145.00",
,,                                        36,,CITY,,,                                        656.00,,                                        -14.00,,                                        -2.09,,                                        677.00,,                                        677.00,,                                        646.80,,"                                        78,847.00",,                                        670.00,
,,                                        37,,CIZBD90,,,"                                        1,050.00",,                                        -5.00,,                                        -0.47,,"                                        1,050.00",,"                                        1,050.00",,"                                        1,050.00",,                                        25.00,,"                                        1,055.00",
,,                                        38,,CKHL,,,                                        553.00,,                                        1.00,,                                        0.18,,                                        541.00,,                                        563.00,,                                        533.00,,"                                        11,349.00",,                                        552.00,
,,                                        39,,CLI,,,                                        480.10,,                                        -0.50,,                                        -0.10,,                                        475.00,,                                        488.00,,                                        475.00,,"                                        80,439.00",,                                        480.60,
,,                                        40,,CMF1,,,                                        9.28,,                                        0.28,,                                        3.11,,                                        8.85,,                                        9.28,,                                        8.85,,"                                        28,100.00",,                                        9.00,
,,                                        41,,CMF2,,,                                        8.58,,                                        0.32,,                                        3.87,,                                        8.26,,                                        8.58,,                                        8.26,,"                                        7,075.00",,                                        8.26,
,,                                        42,,CORBL,,,                                        484.90,,                                        17.90,,                                        3.83,,                                        476.30,,                                        489.90,,                                        465.00,,"                                        9,323.00",,                                        467.00,
,,                                        43,,CYCL,,,"                                        1,473.50",,                                        -8.80,,                                        -0.59,,"                                        1,470.00",,"                                        1,512.00",,"                                        1,470.00",,"                                        7,537.00",,"                                        1,482.30",
,,                                        44,,CZBIL,,,                                        179.00,,                                        2.10,,                                        1.19,,                                        173.80,,                                        182.00,,                                        173.80,,"                                        83,463.00",,                                        176.90,
,,                                        45,,DDBL,,,                                        743.00,,                                        2.00,,                                        0.27,,                                        755.00,,                                        755.80,,                                        740.00,,"                                        3,510.00",,                                        741.00,
,,                                        46,,DHPL,,,                                        195.00,,                                        0.50,,                                        0.26,,                                        194.00,,                                        199.90,,                                        193.10,,"                                        12,811.00",,                                        194.50,
,,                                        47,,DLBS,,,"                                        1,228.00",,                                        -23.10,,                                        -1.85,,"                                        1,250.00",,"                                        1,270.00",,"                                        1,220.00",,"                                        4,268.00",,"                                        1,251.10",
,,                                        48,,DOLTI,,,                                        414.00,,                                        5.00,,                                        1.22,,                                        405.00,,                                        414.70,,                                        404.00,,"                                        9,610.00",,                                        409.00,
,,                                        49,,DORDI,,,                                        413.00,,                                        0.90,,                                        0.22,,                                        415.00,,                                        420.00,,                                        407.30,,"                                        5,238.00",,                                        412.10,
,,                                        50,,EBL,,,                                        540.00,,                                        -6.90,,                                        -1.26,,                                        550.00,,                                        550.00,,                                        538.50,,"                                        53,168.00",,                                        546.90,
,,                                        51,,EBLD85,,,"                                        1,061.00",,                                        6.00,,                                        0.57,,"                                        1,055.00",,"                                        1,061.00",,"                                        1,055.00",,                                        50.00,,"                                        1,055.00",
,,                                        52,,EDBL,,,                                        391.00,,                                        1.90,,                                        0.49,,                                        383.00,,                                        401.60,,                                        383.00,,"                                        18,584.00",,                                        389.10,
,,                                        53,,EHPL,,,                                        533.00,,                                        22.00,,                                        4.31,,                                        500.80,,                                        536.00,,                                        496.20,,"                                        40,243.00",,                                        511.00,
,,                                        54,,ENL,,,                                        890.00,,                                        38.00,,                                        4.46,,                                        852.00,,                                        908.10,,                                        852.00,,"                                        13,934.00",,                                        852.00,
,,                                        55,,FMDBL,,,                                        724.00,,                                        1.00,,                                        0.14,,                                        708.60,,                                        727.00,,                                        708.60,,"                                        50,223.00",,                                        723.00,
